match_id,season,date,match_no,venue,city,team1,team2,toss_winner,toss_decision,innings1_score,innings1_wickets,innings2_score,innings2_wickets,winning_team,margin,won_by,player_of_the_match,team1_players,team2_players,umpire1,umpire2,umpire3
202454,2024,05-05-2024,54,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,KKR,LSG,LSG,field,235,6,137,10,KKR,98,runs,SP Narine,"VG Arora, PD Salt, SP Narine, A Raghuvanshi, AD Russell, RK Singh, SS Iyer, Ramandeep Singh, VR Iyer, MA Starc, Harshit Rana, CV Varun","Yash Thakur, Mohsin Khan, KL Rahul, AA Kulkarni, MP Stoinis, DJ Hooda, N Pooran, A Badoni, AJ Turner, KH Pandya, Yudhvir Singh, Ravi Bishnoi, Naveen-ul-Haq",MV Saidharshan Kumar,YC Barde,AK Chaudhary
202455,2024,06-05-2024,55,"Wankhede Stadium, Mumbai",Mumbai,SRH,MI,MI,field,173,8,174,3,MI,7,wickets,SA Yadav,"TM Head, Abhishek Sharma, MA Agarwal, Nithish Kumar Reddy, H Klaasen, M Jansen, Shahbaz Ahmed, Abdul Samad, PJ Cummins, Sanvir Singh, B Kumar, T Natarajan","Ishan Kishan, RG Sharma, Naman Dhir, SA Yadav, Tilak Varma, HH Pandya, TH David, A Kamboj, PP Chawla, JJ Bumrah, N Thushara",Navdeep Singh,Tapan Sharma,J Madanagopal
202456,2024,07-05-2024,56,"Arun Jaitley Stadium, Delhi",Delhi,DC,RR,RR,field,221,8,201,8,DC,20,runs,Kuldeep Yadav,"J Fraser-McGurk, Abishek Porel, SD Hope, AR Patel, RR Pant, T Stubbs, Gulbadin Naib, Rasikh Salam, Kuldeep Yadav, Mukesh Kumar, I Sharma, KK Ahmed","YS Chahal, YBK Jaiswal, JC Buttler, SV Samson, R Parag, SB Dubey, R Powell, D Ferreira, R Ashwin, TA Boult, Avesh Khan, Sandeep Sharma",KN Ananthapadmanabhan,UV Gandhe,MA Gough
202457,2024,08-05-2024,57,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,LSG,SRH,LSG,bat,165,4,167,0,SRH,10,wickets,TM Head,"KL Rahul, Q de Kock, MP Stoinis, KH Pandya, N Pooran, A Badoni, DJ Hooda, K Gowtham, Yash Thakur, Ravi Bishnoi, Naveen-ul-Haq","T Natarajan, Abhishek Sharma, TM Head, Nithish Kumar Reddy, H Klaasen, Abdul Samad, Shahbaz Ahmed, Sanvir Singh, PJ Cummins, B Kumar, JD Unadkat, V Viyaskanth",MV Saidharshan Kumar,YC Barde,AK Chaudhary
202458,2024,09-05-2024,58,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,RCB,PBKS,PBKS,field,241,7,181,10,RCB,60,runs,V Kohli,"Yash Dayal, V Kohli, F du Plessis, WG Jacks, RM Patidar, C Green, KD Karthik, MK Lomror, Swapnil Singh, KV Sharma, Mohammed Siraj, LH Ferguson","V Kaverappa, P Simran Singh, JM Bairstow, RR Rossouw, Shashank Singh, JM Sharma, LS Livingstone, SM Curran, Ashutosh Sharma, HV Patel, RD Chahar, Arshdeep Singh",Nitin Menon,HAS Khalid,VK Sharma
202459,2024,10-05-2024,59,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,GT,CSK,CSK,field,231,3,196,8,GT,35,runs,Shubman Gill,"S Sandeep Warrier, B Sai Sudharsan, Shubman Gill, DA Miller, M Shahrukh Khan, MS Wade, R Tewatia, Rashid Khan, Noor Ahmad, UT Yadav, MM Sharma, Kartik Tyagi","TU Deshpande, AM Rahane, R Ravindra, RD Gaikwad, DJ Mitchell, MM Ali, S Dube, RA Jadeja, MS Dhoni, MJ Santner, SN Thakur, Simarjeet Singh",KN Ananthapadmanabhan,NA Patwardhan,J Madanagopal
202460,2024,11-05-2024,60,"Eden Gardens, Kolkata",Kolkata,KKR,MI,MI,field,157,7,139,8,KKR,18,runs,CV Varun,"VG Arora, PD Salt, SP Narine, VR Iyer, SS Iyer, N Rana, AD Russell, RK Singh, Ramandeep Singh, MA Starc, Harshit Rana, CV Varun","N Thushara, Ishan Kishan, RG Sharma, SA Yadav, Tilak Varma, HH Pandya, TH David, N Wadhera, Naman Dhir, A Kamboj, PP Chawla, JJ Bumrah",UV Gandhe,Vinod Seshan,MA Gough
202461,2024,12-05-2024,61,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,RR,CSK,RR,bat,141,5,145,5,CSK,5,wickets,Simarjeet Singh,"N Burger, YBK Jaiswal, JC Buttler, SV Samson, R Parag, Dhruv Jurel, SB Dubey, R Ashwin, TA Boult, Avesh Khan, Sandeep Sharma, YS Chahal","R Ravindra, RD Gaikwad, DJ Mitchell, MM Ali, S Dube, RA Jadeja, Sameer Rizvi, MS Dhoni, SN Thakur, TU Deshpande, Simarjeet Singh, M Theekshana",R Pandit,YC Barde,AK Chaudhary
202462,2024,12-05-2024,62,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,RCB,DC,DC,field,187,9,140,10,RCB,47,runs,C Green,"V Kohli, F du Plessis, WG Jacks, RM Patidar, C Green, MK Lomror, KD Karthik, Swapnil Singh, KV Sharma, Mohammed Siraj, Yash Dayal, LH Ferguson","KK Ahmed, DA Warner, J Fraser-McGurk, Abishek Porel, SD Hope, Kumar Kushagra, AR Patel, T Stubbs, Rasikh Salam, Kuldeep Yadav, Mukesh Kumar, I Sharma",A Nand Kishore,VA Kulkarni,Nitin Menon
202463,2024,13-05-2024,63,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,GT,KKR,No Toss,No Toss,,,,,,,,,,,Navdeep Singh,Nikhil Patwardhan,Jayaraman Madanagopal
