match_id,season,date,match_no,venue,city,team1,team2,toss_winner,toss_decision,innings1_score,innings1_wickets,innings2_score,innings2_wickets,winning_team,margin,won_by,player_of_the_match,team1_players,team2_players,umpire1,umpire2,umpire3
202411,2024,30-03-2024,11,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,LSG,PBKS,LSG,bat,199,8,178,5,LSG,21,runs,MP Yadav,"Q de Kock, KL Rahul, D Padikkal, MP Stoinis, N Pooran, A Badoni, KH Pandya, Ravi Bishnoi, Mohsin Khan, Naveen-ul-Haq, MP Yadav, M Siddharth","Arshdeep Singh, S Dhawan, JM Bairstow, P Simran Singh, JM Sharma, LS Livingstone, SM Curran, Shashank Singh, Harpreet Brar, HV Patel, K Rabada, RD Chahar",J Madanagopal,Navdeep Singh,AG Wharf
202412,2024,31-03-2024,12,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,SRH,GT,SRH,bat,162,8,168,3,GT,7,wickets,MM Sharma,"TM Head, MA Agarwal, Abhishek Sharma, AK Markram, H Klaasen, Shahbaz Ahmed, Abdul Samad, Washington Sundar, PJ Cummins, B Kumar, M Markande, JD Unadkat","MM Sharma, WP Saha, Shubman Gill, B Sai Sudharsan, DA Miller, V Shankar, Azmatullah Omarzai, R Tewatia, Rashid Khan, UT Yadav, Noor Ahmad, DG Nalkande",HAS Khalid,VK Sharma,
202413,2024,31-03-2024,13,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,DC,CSK,DC,bat,191,5,171,6,DC,20,runs,KK Ahmed,"Rasikh Salam, PP Shaw, DA Warner, RR Pant, MR Marsh, T Stubbs, AR Patel, Abishek Porel, A Nortje, Mukesh Kumar, I Sharma, KK Ahmed","M Pathirana, RD Gaikwad, R Ravindra, AM Rahane, DJ Mitchell, S Dube, Sameer Rizvi, RA Jadeja, MS Dhoni, DL Chahar, TU Deshpande, Mustafizur Rahman",HDPK Dharmasena,Vinod Seshan,KN Ananthapadmanabhan
202414,2024,01-04-2024,14,"Wankhede Stadium, Mumbai",Mumbai,MI,RR,RR,field,125,9,127,4,RR,6,wickets,TA Boult,"Ishan Kishan, RG Sharma, Naman Dhir, D Brevis, Tilak Varma, HH Pandya, PP Chawla, TH David, G Coetzee, JJ Bumrah, Akash Madhwal, KT Maphaka","YS Chahal, YBK Jaiswal, JC Buttler, SV Samson, R Parag, R Ashwin, SB Dubey, Dhruv Jurel, SO Hetmyer, TA Boult, Avesh Khan, N Burger",MV Saidharshan Kumar,YC Barde,BNJ Oxenford
202415,2024,02-04-2024,15,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,LSG,RCB,RCB,field,181,5,153,10,LSG,28,runs,MP Yadav,"M Siddharth, Q de Kock, KL Rahul, D Padikkal, MP Stoinis, N Pooran, A Badoni, KH Pandya, Ravi Bishnoi, Yash Thakur, Naveen-ul-Haq, MP Yadav","Yash Dayal, V Kohli, F du Plessis, RM Patidar, GJ Maxwell, C Green, Anuj Rawat, MK Lomror, KD Karthik, Mayank Dagar, RJW Topley, Mohammed Siraj",J Madanagopal,NA Patwardhan,AG Wharf
202416,2024,03-04-2024,16,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,KKR,DC,KKR,bat,272,7,166,10,KKR,106,runs,SP Narine,"VG Arora, PD Salt, SP Narine, A Raghuvanshi, AD Russell, SS Iyer, RK Singh, VR Iyer, Ramandeep Singh, MA Starc, Harshit Rana, CV Varun","KK Ahmed, DA Warner, PP Shaw, MR Marsh, Abishek Porel, RR Pant, T Stubbs, AR Patel, Sumit Kumar, Rasikh Salam, A Nortje, I Sharma",A Totre,UV Gandhe,HDPK Dharmasena
202417,2024,04-04-2024,17,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,GT,PBKS,PBKS,field,199,4,200,7,PBKS,3,wickets,Shashank Singh,"MM Sharma, WP Saha, Shubman Gill, KS Williamson, B Sai Sudharsan, V Shankar, R Tewatia, Azmatullah Omarzai, Rashid Khan, Noor Ahmad, UT Yadav, DG Nalkande","Arshdeep Singh, S Dhawan, JM Bairstow, P Simran Singh, SM Curran, Sikandar Raza, Shashank Singh, JM Sharma, Ashutosh Sharma, Harpreet Brar, HV Patel, K Rabada",Nitin Menon,VA Kulkarni,VK Sharma
202418,2024,05-04-2024,18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,CSK,SRH,SRH,field,165,5,166,4,SRH,6,wickets,Abhishek Sharma,"Mukesh Choudhary, R Ravindra, RD Gaikwad, AM Rahane, S Dube, RA Jadeja, DJ Mitchell, MS Dhoni, MM Ali, DL Chahar, TU Deshpande, M Theekshana","T Natarajan, TM Head, Abhishek Sharma, AK Markram, Shahbaz Ahmed, H Klaasen, Nithish Kumar Reddy, Abdul Samad, PJ Cummins, B Kumar, M Markande, JD Unadkat",R Pandit,YC Barde,BNJ Oxenford
202419,2024,06-04-2024,19,"Sawai Mansingh Stadium, Jaipur",Jaipur,RCB,RR,RR,field,183,3,189,4,RR,6,wickets,JC Buttler,"H Sharma, V Kohli, F du Plessis, GJ Maxwell, Saurav Chauhan, C Green, RM Patidar, KD Karthik, RJW Topley, Mayank Dagar, Mohammed Siraj, Yash Dayal","YS Chahal, YBK Jaiswal, JC Buttler, SV Samson, R Parag, Dhruv Jurel, SO Hetmyer, R Ashwin, TA Boult, Avesh Khan, N Burger, SB Dubey",AG Wharf,Tapan Sharma,J Madanagopal
202420,2024,07-04-2024,20,"Wankhede Stadium, Mumbai",Mumbai,MI,DC,DC,field,234,5,205,8,MI,29,runs,R Shepherd,"Akash Madhwal, RG Sharma, Ishan Kishan, SA Yadav, HH Pandya, Tilak Varma, TH David, R Shepherd, Mohammad Nabi, G Coetzee, PP Chawla, JJ Bumrah","KK Ahmed, PP Shaw, DA Warner, Abishek Porel, T Stubbs, RR Pant, AR Patel, Lalit Yadav, Kumar Kushagra, JA Richardson, A Nortje, I Sharma",HDPK Dharmasena,UV Gandhe,KN Ananthapadmanabhan
202421,2024,07-04-2024,21,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,LSG,GT,LSG,bat,163,5,130,10,LSG,33,runs,Yash Thakur,"M Siddharth, Q de Kock, KL Rahul, D Padikkal, MP Stoinis, N Pooran, A Badoni, KH Pandya, Ravi Bishnoi, Naveen-ul-Haq, Yash Thakur, MP Yadav","MM Sharma, B Sai Sudharsan, Shubman Gill, KS Williamson, BR Sharath, V Shankar, DG Nalkande, R Tewatia, Rashid Khan, UT Yadav, SH Johnson, Noor Ahmad",A Nand Kishore,VK Sharma,Nitin Menon
202422,2024,08-04-2024,22,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,KKR,CSK,CSK,field,137,9,141,3,CSK,7,wickets,RA Jadeja,"PD Salt, SP Narine, A Raghuvanshi, SS Iyer, VR Iyer, Ramandeep Singh, RK Singh, AD Russell, AS Roy, MA Starc, VG Arora, CV Varun","Mustafizur Rahman, R Ravindra, RD Gaikwad, DJ Mitchell, S Dube, MS Dhoni, AM Rahane, Sameer Rizvi, RA Jadeja, SN Thakur, TU Deshpande, M Theekshana",AK Chaudhary,MV Saidharshan Kumar,BNJ Oxenford
202423,2024,09-04-2024,23,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,SRH,PBKS,PBKS,field,182,9,180,6,SRH,2,runs,Nithish Kumar Reddy,"TM Head, Abhishek Sharma, AK Markram, Nithish Kumar Reddy, RA Tripathi, H Klaasen, Abdul Samad, Shahbaz Ahmed, PJ Cummins, B Kumar, JD Unadkat, T Natarajan","Arshdeep Singh, S Dhawan, JM Bairstow, P Simran Singh, SM Curran, Sikandar Raza, Shashank Singh, JM Sharma, Ashutosh Sharma, Harpreet Brar, HV Patel, K Rabada",Navdeep Singh,NA Patwardhan,AG Wharf
202424,2024,10-04-2024,24,"Sawai Mansingh Stadium, Jaipur",Jaipur,RR,GT,GT,field,196,3,199,7,GT,3,wickets,Rashid Khan,"KA Maharaj, YBK Jaiswal, JC Buttler, SV Samson, R Parag, SO Hetmyer, Dhruv Jurel, R Ashwin, TA Boult, Avesh Khan, KR Sen, YS Chahal","MM Sharma, B Sai Sudharsan, Shubman Gill, MS Wade, A Manohar, V Shankar, R Tewatia, M Shahrukh Khan, Rashid Khan, Noor Ahmad, UT Yadav, SH Johnson",HDPK Dharmasena,Vinod Seshan,KN Ananthapadmanabhan
202425,2024,11-04-2024,25,"Wankhede Stadium, Mumbai",Mumbai,RCB,MI,MI,field,196,8,199,3,MI,7,wickets,JJ Bumrah,"V Kohli, F du Plessis, WG Jacks, RM Patidar, GJ Maxwell, KD Karthik, MK Lomror, Saurav Chauhan, Vijaykumar Vyshak, Akash Deep, RJW Topley, Mohammed Siraj","Akash Madhwal, Ishan Kishan, RG Sharma, SA Yadav, HH Pandya, Tilak Varma, TH David, Mohammad Nabi, R Shepherd, S Gopal, JJ Bumrah, G Coetzee",Nitin Menon,VA Kulkarni,VK Sharma
202426,2024,12-04-2024,26,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,LSG,DC,LSG,bat,167,7,170,4,DC,6,wickets,Kuldeep Yadav,"Q de Kock, KL Rahul, D Padikkal, MP Stoinis, N Pooran, DJ Hooda, A Badoni, KH Pandya, Arshad Khan, Ravi Bishnoi, Naveen-ul-Haq, Yash Thakur","KK Ahmed, PP Shaw, DA Warner, J Fraser-McGurk, RR Pant, T Stubbs, SD Hope, AR Patel, Kuldeep Yadav, Mukesh Kumar, I Sharma, Abishek Porel",R Pandit,YC Barde,BNJ Oxenford
202427,2024,13-04-2024,27,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,PBKS,RR,RR,field,147,8,152,7,RR,3,wickets,SO Hetmyer,"Atharva Taide, JM Bairstow, P Simran Singh, SM Curran, JM Sharma, Shashank Singh, LS Livingstone, Ashutosh Sharma, Harpreet Brar, HV Patel, K Rabada, Arshdeep Singh","KR Sen, YBK Jaiswal, Tanush Kotian, SV Samson, R Parag, Dhruv Jurel, SO Hetmyer, R Powell, KA Maharaj, TA Boult, Avesh Khan, YS Chahal",AK Chaudhary,Tapan Sharma,J Madanagopal
202428,2024,14-04-2024,28,"Eden Gardens, Kolkata",Kolkata,LSG,KKR,KKR,field,161,7,162,2,KKR,8,wickets,PD Salt,"Q de Kock, KL Rahul, DJ Hooda, A Badoni, MP Stoinis, N Pooran, KH Pandya, Arshad Khan (2), Mohsin Khan, Ravi Bishnoi, S Joseph, Yash Thakur","CV Varun, PD Salt, SP Narine, A Raghuvanshi, SS Iyer, VR Iyer, AD Russell, Ramandeep Singh, MA Starc, VG Arora, Harshit Rana, RK Singh",A Totre,Vinod Seshan,KN Ananthapadmanabhan
202429,2024,14-04-2024,29,"Wankhede Stadium, Mumbai",Mumbai,CSK,MI,MI,field,206,4,186,6,CSK,20,runs,M Pathirana,"AM Rahane, R Ravindra, RD Gaikwad, S Dube, DJ Mitchell, MS Dhoni, RA Jadeja, Sameer Rizvi, SN Thakur, TU Deshpande, Mustafizur Rahman, M Pathirana","Akash Madhwal, RG Sharma, Ishan Kishan, SA Yadav, Tilak Varma, HH Pandya, TH David, R Shepherd, Mohammad Nabi, S Gopal, JJ Bumrah, G Coetzee",Nitin Menon,HAS Khalid,VK Sharma
202430,2024,15-04-2024,30,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,SRH,RCB,RCB,field,287,3,262,7,SRH,25,runs,TM Head,"M Markande, Abhishek Sharma, TM Head, H Klaasen, AK Markram, Abdul Samad, Shahbaz Ahmed, PJ Cummins, B Kumar, JD Unadkat, T Natarajan, Nithish Kumar Reddy","Yash Dayal, V Kohli, F du Plessis, WG Jacks, RM Patidar, Saurav Chauhan, KD Karthik, MK Lomror, Anuj Rawat, Vijaykumar Vyshak, RJW Topley, LH Ferguson",AK Chaudhary,R Pandit,BNJ Oxenford
202431,2024,16-04-2024,31,"Eden Gardens, Kolkata",Kolkata,KKR,RR,RR,field,223,6,224,8,RR,2,wickets,JC Buttler,"VG Arora, PD Salt, SP Narine, A Raghuvanshi, SS Iyer, AD Russell, RK Singh, VR Iyer, Ramandeep Singh, MA Starc, CV Varun, Harshit Rana","KR Sen, YBK Jaiswal, JC Buttler, SV Samson, R Parag, Dhruv Jurel, R Ashwin, SO Hetmyer, R Powell, TA Boult, Avesh Khan, YS Chahal",MA Gough,UV Gandhe,KN Ananthapadmanabhan
202432,2024,17-04-2024,32,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,GT,DC,DC,field,89,10,92,4,DC,6,wickets,RR Pant,"WP Saha, Shubman Gill, B Sai Sudharsan, DA Miller, A Manohar, R Tewatia, M Shahrukh Khan, Rashid Khan, MM Sharma, Noor Ahmad, SH Johnson, S Sandeep Warrier","KK Ahmed, PP Shaw, J Fraser-McGurk, Abishek Porel, SD Hope, RR Pant, Sumit Kumar, T Stubbs, AR Patel, Kuldeep Yadav, I Sharma, Mukesh Kumar",NA Patwardhan,VK Sharma,J Madanagopal
202433,2024,18-04-2024,33,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,MI,PBKS,PBKS,field,192,7,183,10,MI,9,runs,JJ Bumrah,"Akash Madhwal, Ishan Kishan, RG Sharma, SA Yadav, Tilak Varma, HH Pandya, TH David, R Shepherd, Mohammad Nabi, G Coetzee, S Gopal, JJ Bumrah","Arshdeep Singh, SM Curran, P Simran Singh, RR Rossouw, LS Livingstone, Harpreet Singh, Shashank Singh, JM Sharma, Ashutosh Sharma, Harpreet Brar, HV Patel, K Rabada",A Nand Kishore,VA Kulkarni,Nitin Menon
202434,2024,19-04-2024,34,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,CSK,LSG,LSG,field,176,6,180,2,LSG,8,wickets,KL Rahul,"AM Rahane, R Ravindra, RD Gaikwad, RA Jadeja, S Dube, Sameer Rizvi, MM Ali, MS Dhoni, DL Chahar, TU Deshpande, Mustafizur Rahman, M Pathirana","Q de Kock, KL Rahul, N Pooran, MP Stoinis, DJ Hooda, A Badoni, KH Pandya, MJ Henry, Ravi Bishnoi, Mohsin Khan, Yash Thakur",AK Chaudhary,R Pandit,BNJ Oxenford
202435,2024,20-04-2024,35,"Arun Jaitley Stadium, Delhi",Delhi,SRH,DC,DC,field,266,7,199,10,SRH,67,runs,TM Head,"TM Head, Abhishek Sharma, AK Markram, H Klaasen, Nithish Kumar Reddy, Shahbaz Ahmed, Abdul Samad, PJ Cummins, Washington Sundar, B Kumar, T Natarajan, M Markande","KK Ahmed, PP Shaw, DA Warner, J Fraser-McGurk, Abishek Porel, T Stubbs, RR Pant, Lalit Yadav, AR Patel, A Nortje, Kuldeep Yadav, Mukesh Kumar",J Madanagopal,Navdeep Singh,Tapan Sharma
202436,2024,21-04-2024,36,"Eden Gardens, Kolkata",Kolkata,KKR,RCB,RCB,field,222,6,221,10,KKR,1,runs,AD Russell,"Suyash Sharma, PD Salt, SP Narine, A Raghuvanshi, VR Iyer, SS Iyer, RK Singh, AD Russell, Ramandeep Singh, MA Starc, CV Varun, Harshit Rana","Yash Dayal, V Kohli, F du Plessis, WG Jacks, RM Patidar, C Green, SS Prabhudessai, MK Lomror, KD Karthik, KV Sharma, Mohammed Siraj, LH Ferguson",A Totre,Vinod Seshan,MA Gough
202437,2024,21-04-2024,37,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,PBKS,GT,PBKS,bat,142,10,146,7,GT,3,wickets,R Sai Kishore,"SM Curran, P Simran Singh, RR Rossouw, JM Sharma, LS Livingstone, Shashank Singh, Ashutosh Sharma, Harpreet Singh, Harpreet Brar, HV Patel, K Rabada, Arshdeep Singh","S Sandeep Warrier, WP Saha, Shubman Gill, B Sai Sudharsan, DA Miller, Azmatullah Omarzai, R Tewatia, M Shahrukh Khan, Rashid Khan, R Sai Kishore, Noor Ahmad, MM Sharma",A Nand Kishore,VA Kulkarni,HAS Khalid
202438,2024,22-04-2024,38,"Sawai Mansingh Stadium, Jaipur",Jaipur,MI,RR,MI,bat,179,9,183,1,RR,9,wickets,Sandeep Sharma,"N Thushara, RG Sharma, Ishan Kishan, SA Yadav, Tilak Varma, Mohammad Nabi, N Wadhera, HH Pandya, TH David, G Coetzee, PP Chawla, JJ Bumrah","YS Chahal, YBK Jaiswal, JC Buttler, SV Samson, R Powell, R Parag, SO Hetmyer, Dhruv Jurel, R Ashwin, TA Boult, Avesh Khan, Sandeep Sharma",AK Chaudhary,MV Saidharshan Kumar,BNJ Oxenford
202439,2024,23-04-2024,39,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,CSK,LSG,LSG,field,210,4,213,4,LSG,6,wickets,MP Stoinis,"SN Thakur, AM Rahane, RD Gaikwad, DJ Mitchell, RA Jadeja, S Dube, MS Dhoni, MM Ali, DL Chahar, TU Deshpande, Mustafizur Rahman, M Pathirana","Yash Thakur, Q de Kock, KL Rahul, MP Stoinis, D Padikkal, N Pooran, DJ Hooda, A Badoni, KH Pandya, MJ Henry, Ravi Bishnoi, Mohsin Khan",NA Patwardhan,Tapan Sharma,J Madanagopal
202440,2024,24-04-2024,40,"Arun Jaitley Stadium, Delhi",Delhi,DC,GT,GT,field,224,4,220,8,DC,4,runs,RR Pant,"Rasikh Salam, PP Shaw, J Fraser-McGurk, AR Patel, SD Hope, RR Pant, T Stubbs, Abishek Porel, Kuldeep Yadav, A Nortje, KK Ahmed, Mukesh Kumar","S Sandeep Warrier, WP Saha, Shubman Gill, B Sai Sudharsan, Azmatullah Omarzai, DA Miller, M Shahrukh Khan, R Tewatia, Rashid Khan, R Sai Kishore, MM Sharma, Noor Ahmad",KN Ananthapadmanabhan,UV Gandhe,A Totre
202441,2024,25-04-2024,41,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,RCB,SRH,RCB,bat,206,7,171,8,RCB,35,runs,RM Patidar,"V Kohli, F du Plessis, WG Jacks, RM Patidar, C Green, MK Lomror, KD Karthik, Swapnil Singh, KV Sharma, LH Ferguson, Yash Dayal, Mohammed Siraj","T Natarajan, Abhishek Sharma, TM Head, AK Markram, Nithish Kumar Reddy, H Klaasen, Shahbaz Ahmed, Abdul Samad, PJ Cummins, B Kumar, JD Unadkat, M Markande",Nitin Menon,HAS Khalid,VK Sharma
202442,2024,26-04-2024,42,"Eden Gardens, Kolkata",Kolkata,KKR,PBKS,PBKS,field,261,6,262,2,PBKS,8,wickets,JM Bairstow,"AS Roy, PD Salt, SP Narine, VR Iyer, AD Russell, SS Iyer, RK Singh, Ramandeep Singh, A Raghuvanshi, CV Varun, Harshit Rana, PVD Chameera","Arshdeep Singh, P Simran Singh, JM Bairstow, RR Rossouw, Shashank Singh, SM Curran, JM Sharma, Ashutosh Sharma, Harpreet Brar, HV Patel, K Rabada, RD Chahar",AK Chaudhary,YC Barde,R Pandit
202443,2024,27-04-2024,43,"Arun Jaitley Stadium, Delhi",Delhi,DC,MI,MI,field,257,4,247,9,DC,10,runs,J Fraser-McGurk,"Rasikh Salam, J Fraser-McGurk, Abishek Porel, SD Hope, RR Pant, T Stubbs, AR Patel, Kumar Kushagra, Kuldeep Yadav, LB Williams, KK Ahmed, Mukesh Kumar","N Thushara, Ishan Kishan, RG Sharma, SA Yadav, Tilak Varma, HH Pandya, N Wadhera, TH David, Mohammad Nabi, PP Chawla, L Wood, JJ Bumrah",Navdeep Singh,NA Patwardhan,J Madanagopal
